Category: All categories,,,
,,,
Time,Softball: (Canada),Beach volleyball: (Canada),soccer: (Canada)
2025-05-18T21:52:00-04:00,14,0,81
2025-05-18T22:00:00-04:00,10,0,79
2025-05-18T22:08:00-04:00,9,0,78
2025-05-18T22:16:00-04:00,12,0,74
2025-05-18T22:24:00-04:00,14,0,73
2025-05-18T22:32:00-04:00,11,0,78
2025-05-18T22:40:00-04:00,9,0,66
2025-05-18T22:48:00-04:00,9,0,62
2025-05-18T22:56:00-04:00,7,0,73
2025-05-18T23:04:00-04:00,18,0,71
2025-05-18T23:12:00-04:00,15,0,61
2025-05-18T23:20:00-04:00,12,0,77
2025-05-18T23:28:00-04:00,0,0,67
2025-05-18T23:36:00-04:00,12,0,57
2025-05-18T23:44:00-04:00,10,0,61
2025-05-18T23:52:00-04:00,12,0,65
2025-05-19T00:00:00-04:00,13,0,61
2025-05-19T00:08:00-04:00,16,0,50
2025-05-19T00:16:00-04:00,14,0,78
2025-05-19T00:24:00-04:00,11,0,58
2025-05-19T00:32:00-04:00,20,0,53
2025-05-19T00:40:00-04:00,0,0,52
2025-05-19T00:48:00-04:00,14,0,48
2025-05-19T00:56:00-04:00,0,0,60
2025-05-19T01:04:00-04:00,0,0,68
2025-05-19T01:12:00-04:00,0,0,69
2025-05-19T01:20:00-04:00,0,0,75
2025-05-19T01:28:00-04:00,0,0,63
2025-05-19T01:36:00-04:00,0,0,65
2025-05-19T01:44:00-04:00,0,0,62
2025-05-19T01:52:00-04:00,0,0,62
2025-05-19T02:00:00-04:00,0,0,51
2025-05-19T02:08:00-04:00,0,0,44
2025-05-19T02:16:00-04:00,0,0,62
2025-05-19T02:24:00-04:00,0,0,49
2025-05-19T02:32:00-04:00,0,0,55
2025-05-19T02:40:00-04:00,0,0,50
2025-05-19T02:48:00-04:00,0,0,62
2025-05-19T02:56:00-04:00,0,0,31
2025-05-19T03:04:00-04:00,0,0,58
2025-05-19T03:12:00-04:00,0,0,37
2025-05-19T03:20:00-04:00,0,0,41
2025-05-19T03:28:00-04:00,0,0,34
2025-05-19T03:36:00-04:00,0,0,34
2025-05-19T03:44:00-04:00,0,0,81
2025-05-19T03:52:00-04:00,0,0,51
2025-05-19T04:00:00-04:00,0,0,40
2025-05-19T04:08:00-04:00,0,0,43
2025-05-19T04:16:00-04:00,0,0,52
2025-05-19T04:24:00-04:00,0,0,47
2025-05-19T04:32:00-04:00,0,0,84
2025-05-19T04:40:00-04:00,0,0,50
2025-05-19T04:48:00-04:00,0,0,47
2025-05-19T04:56:00-04:00,0,0,0
2025-05-19T05:04:00-04:00,0,0,0
2025-05-19T05:12:00-04:00,0,0,0
2025-05-19T05:20:00-04:00,0,0,42
2025-05-19T05:28:00-04:00,0,0,44
2025-05-19T05:36:00-04:00,0,0,74
2025-05-19T05:44:00-04:00,0,0,39
2025-05-19T05:52:00-04:00,0,0,42
2025-05-19T06:00:00-04:00,0,0,38
2025-05-19T06:08:00-04:00,0,0,49
2025-05-19T06:16:00-04:00,0,0,57
2025-05-19T06:24:00-04:00,0,0,58
2025-05-19T06:32:00-04:00,0,0,41
2025-05-19T06:40:00-04:00,0,0,53
2025-05-19T06:48:00-04:00,0,0,31
2025-05-19T06:56:00-04:00,0,0,66
2025-05-19T07:04:00-04:00,0,0,52
2025-05-19T07:12:00-04:00,0,0,60
2025-05-19T07:20:00-04:00,0,0,56
2025-05-19T07:28:00-04:00,0,0,53
2025-05-19T07:36:00-04:00,0,0,55
2025-05-19T07:44:00-04:00,0,0,70
2025-05-19T07:52:00-04:00,0,0,83
2025-05-19T08:00:00-04:00,0,0,75
2025-05-19T08:08:00-04:00,0,0,58
2025-05-19T08:16:00-04:00,0,0,70
2025-05-19T08:24:00-04:00,0,0,75
2025-05-19T08:32:00-04:00,0,0,75
2025-05-19T08:40:00-04:00,0,0,77
2025-05-19T08:48:00-04:00,0,0,85
2025-05-19T08:56:00-04:00,12,0,79
2025-05-19T09:04:00-04:00,11,0,69
2025-05-19T09:12:00-04:00,17,0,77
2025-05-19T09:20:00-04:00,0,0,64
2025-05-19T09:28:00-04:00,0,0,80
2025-05-19T09:36:00-04:00,12,0,81
2025-05-19T09:44:00-04:00,11,0,86
2025-05-19T09:52:00-04:00,10,0,73
2025-05-19T10:00:00-04:00,11,0,70
2025-05-19T10:08:00-04:00,13,0,78
2025-05-19T10:16:00-04:00,9,0,76
2025-05-19T10:24:00-04:00,14,0,75
2025-05-19T10:32:00-04:00,11,0,74
2025-05-19T10:40:00-04:00,16,0,70
2025-05-19T10:48:00-04:00,15,0,82
2025-05-19T10:56:00-04:00,10,0,83
2025-05-19T11:04:00-04:00,9,0,80
2025-05-19T11:12:00-04:00,8,0,91
2025-05-19T11:20:00-04:00,10,0,77
2025-05-19T11:28:00-04:00,7,0,76
2025-05-19T11:36:00-04:00,10,0,79
2025-05-19T11:44:00-04:00,12,0,80
2025-05-19T11:52:00-04:00,8,7,80
2025-05-19T12:00:00-04:00,11,0,85
2025-05-19T12:08:00-04:00,6,0,83
2025-05-19T12:16:00-04:00,0,0,82
2025-05-19T12:24:00-04:00,9,0,80
2025-05-19T12:32:00-04:00,9,0,82
2025-05-19T12:40:00-04:00,12,0,79
2025-05-19T12:48:00-04:00,12,0,84
2025-05-19T12:56:00-04:00,13,0,72
2025-05-19T13:04:00-04:00,11,0,74
2025-05-19T13:12:00-04:00,11,0,77
2025-05-19T13:20:00-04:00,9,0,86
2025-05-19T13:28:00-04:00,10,0,72
2025-05-19T13:36:00-04:00,13,0,80
2025-05-19T13:44:00-04:00,10,0,72
2025-05-19T13:52:00-04:00,0,0,76
2025-05-19T14:00:00-04:00,16,0,78
2025-05-19T14:08:00-04:00,0,0,77
2025-05-19T14:16:00-04:00,12,0,78
2025-05-19T14:24:00-04:00,10,0,85
2025-05-19T14:32:00-04:00,9,0,87
2025-05-19T14:40:00-04:00,11,0,84
2025-05-19T14:48:00-04:00,11,0,84
2025-05-19T14:56:00-04:00,13,0,90
2025-05-19T15:04:00-04:00,12,0,95
2025-05-19T15:12:00-04:00,10,0,87
2025-05-19T15:20:00-04:00,14,0,92
2025-05-19T15:28:00-04:00,7,0,87
2025-05-19T15:36:00-04:00,13,0,96
2025-05-19T15:44:00-04:00,9,0,89
2025-05-19T15:52:00-04:00,10,0,82
2025-05-19T16:00:00-04:00,11,0,86
2025-05-19T16:08:00-04:00,8,0,87
2025-05-19T16:16:00-04:00,14,0,80
2025-05-19T16:24:00-04:00,9,0,91
2025-05-19T16:32:00-04:00,11,0,80
2025-05-19T16:40:00-04:00,9,0,88
2025-05-19T16:48:00-04:00,8,0,85
2025-05-19T16:56:00-04:00,11,0,85
2025-05-19T17:04:00-04:00,11,0,88
2025-05-19T17:12:00-04:00,12,0,89
2025-05-19T17:20:00-04:00,15,0,91
2025-05-19T17:28:00-04:00,10,0,87
2025-05-19T17:36:00-04:00,17,0,79
2025-05-19T17:44:00-04:00,14,0,93
2025-05-19T17:52:00-04:00,11,0,88
2025-05-19T18:00:00-04:00,10,0,78
2025-05-19T18:08:00-04:00,17,0,90
2025-05-19T18:16:00-04:00,16,0,80
2025-05-19T18:24:00-04:00,13,0,81
2025-05-19T18:32:00-04:00,13,0,81
2025-05-19T18:40:00-04:00,12,0,90
2025-05-19T18:48:00-04:00,12,9,82
2025-05-19T18:56:00-04:00,11,0,92
2025-05-19T19:04:00-04:00,14,0,80
2025-05-19T19:12:00-04:00,12,0,78
2025-05-19T19:20:00-04:00,12,0,82
2025-05-19T19:28:00-04:00,14,0,81
2025-05-19T19:36:00-04:00,10,0,81
2025-05-19T19:44:00-04:00,11,0,87
2025-05-19T19:52:00-04:00,12,0,100
2025-05-19T20:00:00-04:00,14,0,69
2025-05-19T20:08:00-04:00,10,0,90
2025-05-19T20:16:00-04:00,21,0,84
2025-05-19T20:24:00-04:00,13,0,96
2025-05-19T20:32:00-04:00,9,0,86
2025-05-19T20:40:00-04:00,16,6,89
2025-05-19T20:48:00-04:00,16,0,86
2025-05-19T20:56:00-04:00,14,0,88
2025-05-19T21:04:00-04:00,19,0,78
2025-05-19T21:12:00-04:00,8,0,89
2025-05-19T21:20:00-04:00,14,0,82
2025-05-19T21:28:00-04:00,14,0,75
2025-05-19T21:36:00-04:00,13,0,80
2025-05-19T21:44:00-04:00,8,0,71
2025-05-19T21:52:00-04:00,19,0,76
